Company,Revenues,Profits,Employees,Sector,Industry
PulteGroup,8573,447.2,4810,Engineering & Construction,Homebuilders
Navistar International,8570,30,11400,Industrials,Construction and Farm Machinery
Thrivent Financial for Lutherans,8528,558.4,3622,Financials,"Insurance: Life, Health (Mutual)"
DCP Midstream,8462,229,2650,Energy,Pipelines
Air Products & Chemicals,8442,3000.4,15150,Chemicals,Chemicals
Veritiv,8365,-13.3,8900,Wholesalers,Wholesalers: Diversified
AGCO,8307,186.4,20462,Industrials,Construction and Farm Machinery
Genworth Financial,8295,817,3500,Financials,"Insurance: Life, Health (stock)"
Univar,8254,119.8,8600,Wholesalers,Wholesalers: Diversified
News Corp.,8139,-738,26000,Media,"Publishing, Printing"
SpartanNash,8128,-52.8,11950,Wholesalers,Wholesalers: Food and Grocery
Westlake Chemical,8041,1304,8799,Chemicals,Chemicals
Williams,8031,2174,5425,Energy,Energy
Lam Research,8014,1697.8,9400,Technology,Semiconductors and Other Electronic Components
Alaska Air Group,7933,1034,23156,Transportation,Airlines
Jones Lang LaSalle,7932,254.2,81900,Financials,Real estate
Anixter International,7927,109,8900,Wholesalers,Wholesalers: Electronics and Office Equipment
Campbell Soup,7890,887,18000,"Food, Beverages & Tobacco",Food Consumer Products
Interpublic Group,7882,579,50200,Business Services,"Advertising, marketing"
Dover,7830,811.7,29000,Industrials,Industrial Machinery
Zimmer Biomet Holdings,7824,1813.8,18200,Health Care,Medical Products and Equipment
Dean Foods,7795,61.6,16000,"Food, Beverages & Tobacco",Food Consumer Products
Foot Locker,7782,284,32175,Retailing,Specialty Retailers: Apparel
Eversource Energy,7752,988,8084,Energy,Utilities: Gas and Electric
Alliance Data Systems,7719,788.7,20000,Business Services,Financial Data Services
Fifth Third Bancorp,7713,2194,18125,Financials,Commercial Banks
Quest Diagnostics,7709,772,45000,Health Care,Health Care: Pharmacy and Other Services
EMCOR Group,7688,227.2,32000,Engineering & Construction,"Engineering, Construction"
W.R. Berkley,7685,549.1,7722,Financials,Insurance: Property and Casualty (Stock)
WESCO International,7679,163.5,9100,Wholesalers,Wholesalers: Diversified
Coty,7650,-422.2,22000,Household Products,Household and Personal Products
WEC Energy Group,7649,1203.7,8129,Energy,Utilities: Gas and Electric
Masco,7644,533,26000,Household Products,"Home Equipment, Furnishings"
DXC Technology,7607,-123,60000,Technology,Information Technology Services
Auto-Owners Insurance,7604,645.7,5227,Financials,Insurance: Property and Casualty (Mutual)
Jones Financial (Edward Jones),7597,872,45000,Financials,Securities
Liberty Media,7594,1354,4393,Media,Entertainment
Erie Insurance Group,7535,857.5,5260,Financials,Insurance: Property and Casualty (Mutual)
Hershey,7515,783,16135,"Food, Beverages & Tobacco",Food Consumer Products
PPL,7447,1128,12512,Energy,Utilities: Gas and Electric
Huntington Ingalls Industries,7441,479,38000,Aerospace & Defense,Aerospace and Defense
Mosaic,7409,-107.2,8500,Chemicals,Chemicals
J.M. Smucker,7392,592.3,7140,"Food, Beverages & Tobacco",Food Consumer Products
Delek US Holdings,7350,288.8,3941,Energy,Petroleum Refining
Newmont Mining,7348,-98,12569,Energy,"Mining, Crude-Oil Production"
Constellation Brands,7332,1535.1,8700,"Food, Beverages & Tobacco",Beverages
Ryder System,7330,790.6,36100,Transportation,"Trucking, Truck Leasing"
National Oilwell Varco,7304,-237,31605,Energy,"Oil and Gas Equipment, Services"
Adobe Systems,7302,1694,17973,Technology,Computer Software
LifePoint Health,7263,102.4,42000,Health Care,Health Care: Medical Facilities
Tractor Supply,7256,422.6,21000,Retailing,Specialty Retailers: Other
Thor Industries,7247,374.3,17800,Motor Vehicles & Parts,Motor Vehicles and Parts
Dana,7209,111,30100,Motor Vehicles & Parts,Motor Vehicles and Parts
Weyerhaeuser,7196,582,9300,Materials,Forest and Paper Products
J.B. Hunt Transport Services,7190,686.3,24681,Transportation,"Trucking, Truck Leasing"
Darden Restaurants,7170,479.1,178729,"Hotels, Restaurants & Leisure",Food Services
Yum China Holdings,7144,403,450000,"Hotels, Restaurants & Leisure",Food Services
Blackstone Group,7119,1470.8,2360,Financials,Diversified Financials
Berry Global Group,7095,340,23000,Materials,"Packaging, Containers"
Builders FirstSource,7034,38.8,15000,Materials,"Building Materials, Glass"
Activision Blizzard,7017,273,9800,Technology,Entertainment
JetBlue Airways,7015,1147,17424,Transportation,Airlines
Amphenol,7011,650.5,70000,Technology,Network and Other Communications Equipment
A-Mark Precious Metals,6990,7.1,126,Materials,Miscellaneous
Spirit AeroSystems Holdings,6983,354.9,15500,Aerospace & Defense,Aerospace and Defense
R.R. Donnelley & Sons,6940,-34.4,42700,Media,"Publishing, Printing"
Harris,6939,553,17000,Aerospace & Defense,Aerospace and Defense
Expeditors Intl. of Washington,6921,489.3,16500,Transportation,Transportation and Logistics
Discovery,6873,-337,7000,Media,Entertainment
Owens-Illinois,6869,180,26500,Materials,"Packaging, Containers"
Sanmina,6869,138.8,41250,Technology,Semiconductors and Other Electronic Components
KeyCorp,6868,1296,18415,Financials,Commercial Banks
American Financial Group,6865,475,7600,Financials,Insurance: Property and Casualty (Stock)
Oshkosh,6830,285.6,14000,Industrials,Construction and Farm Machinery
Rockwell Collins,6822,705,29000,Aerospace & Defense,Aerospace and Defense
Kindred Healthcare,6768,-698.4,64200,Health Care,Health Care: Medical Facilities
Insight Enterprises,6704,90.7,6697,Technology,Information Technology Services
Dr Pepper Snapple Group,6690,1076,21000,"Food, Beverages & Tobacco",Beverages
American Tower,6664,1238.9,4752,Financials,Real estate
Fortive,6656,1044.5,26000,Industrials,Industrial Machinery
Ralph Lauren,6653,-99.3,18250,Apparel,Apparel
HRG Group,6650,106,17113,Household Products,Household and Personal Products
