Rank,Name,Number Of Employees,Change In Rank,Industry,Company Description,Revenues_millions,Revenue_Change,Profits_millions,Profit_Change,"Assets
($millions)","Market Value
As of 3/31/20 ($m)"
234,Corteva,21000,-,Agricultural Chemical Company,"Corteva Agriscience Is A Publicly Traded, Global Pure-play Agriculture Company That Provides Farmers Around The World With The Most Complete Portfolio","$13,846",-,-$959.00,-,"$42,397","$17,608"
235,Las Vegas Sands,50000,-5,Hospitality,Las Vegas Sands Corporation Is An American Casino And Resort Company.,"$13,739",0.10%,"$2,698.00",11.80%,"$23,199","$32,434"
236,Textron,35000,-7,Aviation & Aerospace,"Textron Inc. Is A Multi-industry Company That Leverages Its Global Network Of Aircraft, Defense, Industrial And Finance Businesses To Provide Customers With Innovative Solutions And Services.","$13,630",-2.40%,$815.00,-33.30%,"$15,018","$6,071"
237,Kellogg,31000,-3,Consumer Goods,The Kellogg Company Is The World’s Leading Producer Of Cereal And A Leader In Snacks Production.,"$13,578",0.20%,$960.00,-28.10%,"$17,564","$20,547"
238,Guardian Life Ins. Co. Of America,9032,6,Insurance Company,The Guardian Life Insurance Company Of America Is One Of The Largest Mutual Life Insurance Companies In The World.,"$13,477",3.50%,$679.80,46.20%,"$79,388",-
239,Qurate Retail,25314,-14,Media Conglomerate,"Qurate Retail, Inc. Provides E-commerce Services. The Company Engages In The Video And Digital Commerce Via Television Networks And E-commerce Sites, Social Pages, Mobile Application, Print Catalogs, And In-store Destinations","$13,458",-4.30%,-$456.00,-149.80%,"$17,305","$2,540"
240,Core-mark Holding,8555,10,Wholesale,"Core-mark Holding Company, Inc. Distributes Consumer Packaged Goods And Store Supplies To The Convenience Retail Industry.","$13,329",3.30%,$57.70,26.80%,"$1,898","$1,295"
241,Community Health Systems,71500,-18,Hospitals Company,"Chs/community Health Systems, Inc. Operates As A Hospital. The Hospital Offers Diagnostic, Medical, And Surgical Services.","$13,210",-6.70%,-$675.00,-,"$15,609",$394
242,Kinder Morgan,11086,-18,Oil And Gas,"Kinder Morgan, Inc. Is One Of The Largest Energy Infrastructure Companies In North America","$13,209",-6.60%,"$2,190.00",36.10%,"$74,157","$31,530"
243,Bj's Wholesale Club,27231,2,Retailing,Bj's Wholesale Club Is A Leading Operator Of Membership Warehouse Clubs In The Eastern United States.,"$13,191",1.40%,$187.20,47.10%,"$5,270","$3,496"
244,State Street,39103,3,Financial Services Company,State Street Corporation Is An American Financial Services And Bank Holding Company.,"$13,131",1.20%,"$2,242.00",-13.70%,"$245,610","$18,876"
245,Ameriprise Financial,12500,4,Financial Services Company,"Ameriprise Financial, Inc. Is A Diversified Financial Services Company And Bank Holding Company.","$13,103",1.40%,"$1,893.00",-9.80%,"$151,828","$12,602"
246,Global Partners,3860,8,Energy Supply Company,Global Partners Lp Is An American Energy Supply Company.,"$13,082",3.20%,$35.90,-65.50%,"$2,808",$300
247,United States Steel,27500,-25,Steel Producer,United States Steel Corporationis An American Integrated Steel Producer With Production Operations In The United States And Central Europe,"$12,937",-8.80%,-$630.00,-156.50%,"$11,608","$1,074"
248,L Brands,59950,-7,Retailing,"L Brands, Inc Is An American Fashion Retailer Based In Columbus, Ohio.","$12,914",-2.40%,-$366.40,-156.90%,"$10,125","$3,197"
249,Mgm Resorts International,72000,17,Hospitality Company,"Mgm Resorts International Is A Global Entertainment Company With Worldwide Locations Featuring Best-in-class Hotels And Casinos, State-of-the Art Meetings And Conference Spaces, Spectacular Live And Theatrical Entertainment Experiences, As Well As An Extensive Array Of Restaurant, Nightlife And Retail Offerings.","$12,900",9.70%,"$2,049.10",339.00%,"$33,876","$5,814"
250,L3harris Technologies,50000,224,Defense & Space,"L3harris Technologies Is An Agile Global Aerospace And Defense Technology Innovator, Delivering End-to-end Solutions That Meet Customers' Mission-critical Needs. The Company Provides Advanced Defense And Commercial Technologies Across Air, Land, Sea, Space And Cyber Domains.","$12,856",108.00%,"$1,333.00",85.70%,"$38,336","$39,067"
251,Dish Network,16000,-19,Satellite Television Company,"Dish Network Corporation Is An American Television Provider Based In Englewood, Colorado. It Is The Owner Of The Direct-broadcast Satellite Provider Dish, Also Still Commonly Known As Dish Network, And The Over-the-top Iptv Service Sling Tv.","$12,808",-6.00%,"$1,399.50",-11.10%,"$33,231","$10,456"
252,Lithia Motors,14320,13,Retail Company,"Lithia Motors, Inc. Is An American Nationwide Automotive Retailer.","$12,673",7.20%,$271.50,2.20%,"$6,084","$1,910"
253,Dte Energy,10700,-33,Electric Services Company,Dte Energy Is A Detroit-based Diversified Energy Company Involved In The Development And Management Of Energy-related Businesses And Services In The United States And Canada,"$12,669",-10.90%,"$1,169.00",4.40%,"$41,882","$18,290"
254,American Family Insurance Group,13531,52,Insurance Company,"American Family Insurance, Also Abbreviated As Amfam, Is An American Private Mutual Company That Focuses On Property, Casualty, And Auto Insurance, And Also Offers Commercial Insurance, Life, Health, And Homeowners Coverage As Well As Investment And Retirement-planning Products.","$12,633",22.20%,$455.90,54.40%,"$31,124",-
255,Farmers Insurance Exchange,10980,15,Insurance Company,"Farmers Insurance Exchange Provides Property/casualty Insurance Products, Including Homeowners, Automobile, And Commercial Coverage Across The Us.","$12,593",8.10%,$55.30,-,"$17,457",-
256,Consolidated Edison,14890,3,Energy Company,"Consolidated Edison, Inc., Through Its Subsidiaries, Provides A Variety Of Energy Related Products And Services.","$12,574",1.90%,"$1,343.00",-2.80%,"$58,079","$26,035"
257,Lkq,51000,5,Auto Parts,Lkq Corporation Is An American Provider Of Alternative And Speciality Parts To Repair And Accessorise Automobiles And Other Vehicles.,"$12,506",5.30%,$541.30,12.70%,"$12,780","$6,311"
258,Sempra Energy,13969,11,Utilities,"Sempra Energy Is A North American Energy Infrastructure Company Based In San Diego, California. Sempra Energy's Focus Is On Electric And Natural Gas Infrastructure.","$12,443",6.50%,"$2,197.00",109.40%,"$65,665","$33,037"
259,Edison International,12937,-4,Public Utility Company,Our Companies Include One Of The Nation's Largest Electric Utilities And Providers Of Industrial And Commercial Energy Services Nationwide.,"$12,347",-2.40%,"$1,284.00",-,"$64,382","$19,868"
260,Centerpoint Energy,14262,39,Utilities Company,Centerpoint Energy Is An Energy Delivery Company Based In Houston.,"$12,301",16.20%,$791.00,114.90%,"$35,439","$7,765"
261,Quanta Services,40300,22,Corporation,"Quanta Services Is An American Corporation That Provides Infrastructure Services For Electric Power, Pipeline, Industrial And Communications Industries.","$12,112",8.40%,$402.00,37.10%,"$8,332","$4,537"
262,Murphy Usa,7250,-5,Corporation,Murphy Usa Is An American Corporation Operating A Chain Of Retail Gas Stations That Are Primarily Located In Proximity To Walmart Stores.,"$12,101",-3.40%,$154.80,-27.50%,"$2,687","$2,557"
263,Expedia Group,25400,17,Engineering Company,"Expedia Group, Inc. Is An American Online Travel Shopping Company For Consumer And Small Business Travel.","$12,067",7.50%,$565.00,39.20%,"$21,416","$7,877"
264,Group 1 Automotive,15296,8,Car Dealership Company,"Group 1 Automotive. Finance Deals, Aftersales, Servicing & Motability. Dealerships All Over The Uk.","$12,044",3.80%,$174.00,10.30%,"$5,570",$813
265,Bed Bath & Beyond,62000,-7,Retail-store Company,Bed Bath & Beyond Inc. Is An American Chain Of Domestic Merchandise Retail Stores.,"$12,029",-2.60%,-$137.20,-132.30%,"$6,571",$535
266,Unum Group,10300,7,Insurance Company,"Unum Group Is A Provider Of Financial Protection Benefits In The United States And The United Kingdom. The Company's Products Include Disability, Life, Accident, Critical Illness, Dental And Vision, And Other Related Services.","$11,999",3.50%,"$1,100.30",110.20%,"$67,013","$3,047"
267,Csx,20908,-7,Railroad,"Csx Corporation Is An American Holding Company Focused On Rail Transportation And Real Estate In North America, Among Other Industries.","$11,937",-2.60%,"$3,331.00",0.70%,"$38,257","$44,162"
268,Autozone,75840,13,Automotive Parts,"Autozone, Inc. Is An American Retailer Of Aftermarket Automotive Parts And Accessories.","$11,864",5.70%,"$1,617.20",20.90%,"$9,896","$19,756"
269,Pacific Life,3815,29,Insurance Company,"Pacific Life Insurance Company Is An American Insurance Company Providing Life Insurance Products, Annuities, And Mutual Funds, And Offers A Variety Of Investment Products And Services To Individuals, Businesses, And Pension Plans.","$11,847",10.70%,$725.00,-20.60%,"$171,473",-
270,Vistra Energy,5475,67,Electricity Retailer,"Vistra Energy, It Is One Of The Largest Retail Electricity Providers In Texas.","$11,809",29.10%,$928.00,-,"$26,616","$7,795"
271,Charles Schwab,19700,18,Financial Services Company,"The Charles Schwab Corporation Provides A Full Range Of Brokerage, Banking And Financial Advisory Services Through Its Operating Subsidiaries.","$11,785",7.20%,"$3,704.00",5.60%,"$294,005","$43,278"
272,Crown Holdings,33043,12,Packaging,"Crown Holdings, Inc. Engages In The Design, Manufacture, And Sale Of Packaging Products And Equipment For Consumer Goods.","$11,665",4.60%,$510.00,16.20%,"$15,505","$7,876"
273,Ally Financial,8700,30,Financial Services Company,"The Company Provides Financial Services Including Car Finance, Online Banking Via A Direct Bank, Corporate Lending, Vehicle Insurance, Mortgage Loans, And An Electronic Trading Platform To Trade Financial Assets.","$11,618",11.00%,"$1,715.00",35.80%,"$180,644","$5,403"
274,Laboratory Corp. Of America,65000,4,Clinical Laboratory Company,"Labcorp Provides Vital Information To Help Doctors, Hospitals, Pharmaceutical Companies, Researchers, And Patients Make Clear And Confident Decisions.","$11,555",2.00%,$823.80,-6.80%,"$18,046","$12,298"
275,Live Nation Entertainment,18200,17,Entertainment Company,"Live Nation Entertainment, Inc. Is An Entertainment Company, Which Engages In Producing, Marketing And Selling Live Concerts For Artists Via Global Concert Pipe.","$11,548",7.00%,$69.90,16.00%,"$10,976","$9,753"
276,Xcel Energy,11295,-2,Electric Services Company,Xcel Energy Provides The Energy That Powers Millions Of Homes And Businesses Across Eight Western And Midwestern States.,"$11,529",-0.10%,"$1,372.00",8.80%,"$50,448","$31,638"
277,Corning,49500,2,Technology Company,"Corning Incorporated Is An American Multinational Technology Company That Specializes In Specialty Glass, Ceramics, And Related Materials And Technologies Including Advanced Optics, Primarily For Industrial And Scientific Applications.","$11,503",1.90%,$960.00,-9.90%,"$28,898","$15,664"
278,W.w. Grainger,24550,4,Industrial Supply Distribution,"W.w. Grainger, Inc. Distributes Maintenance, Repair, And Operating Supplies, And Related Information To The Commercial, Industrial, Contractor, And Institutional Markets In North America.","$11,486",2.40%,$849.00,8.60%,"$6,005","$13,338"
279,Ball,18300,-8,Aerospace Company,"Ball Corporation Is The World's Leading Provider Of Innovative, Sustainable Aluminum Packaging For Beverage, Personal Care And Household Products.","$11,474",-1.40%,$566.00,24.70%,"$17,360","$21,065"
280,Fox,7700,-,Mass Media Company,"Fox Corporation Is An American Mass Media Company Headquartered In Midtown Manhattan, New York City.","$11,389",-,"$1,595.00",-,"$19,509","$14,143"
281,Universal Health Services,79050,12,Hospitals Company,"Universal Health Services, Inc. (uhs) Is One Of The Largest And Most Respected Providers Of Hospital And Healthcare Services .","$11,378",5.60%,$814.90,4.50%,"$11,668","$8,593"
282,Baxter International,50000,4,Health Care Company,"Baxter International Inc. Is An American Multinational Health Care Company With Headquarters In Deerfield, Illinois. The Company Primarily Focuses On Products To Treat Hemophilia, Kidney Disease, Immune Disorders And Other Chronic And Acute Medical Conditions.","$11,362",2.40%,"$1,001.00",-35.30%,"$18,193","$41,180"
283,Norfolk Southern,24587,-6,Transport Company,"The Norfolk Southern Railway (reporting Mark Ns) Is A Class I Freight Railroad In The United States, And Is The Current Name Of The Former Southern Railway.","$11,296",-1.40%,"$2,722.00",2.10%,"$37,923","$37,537"
284,Navistar International,12300,24,Holding Company,Navistar International Corporation Is An American Holding Company Created In 1986 As The Successor To International Harvester. Navistar Operates As The Owner Of International Brand Of Trucks And Diesel Engines.,"$11,251",9.80%,$221.00,-35.00%,"$6,917","$1,641"
285,Adobe,22634,54,Computer Software Company,"Adobe Is Changing The World Through Digital Experiences. We Help Our Customers Create, Deliver And Optimise Content And Applications.","$11,171",23.70%,"$2,951.50",13.90%,"$20,762","$153,328"
286,J.c. Penney,90000,-25,Department Store Company,"J. C. Penney Company, Inc. Is An American Department Store Chain With 840 Locations In 49 U.s. States And Puerto Rico. I","$11,167",-7.10%,-$268.00,-,"$7,989",$116
287,Discovery,9200,13,Television Network,"Discovery Channel Is An American Multinational Pay Television Network And Flagship Channel Owned By Discovery, Inc.,","$11,144",5.60%,"$2,069.00",248.30%,"$33,735","$9,503"
288,Keurig Dr Pepper,25500,121,Drink Company,"Keurig Dr Pepper - A Leading Producer And Distributer Of Hot And Cold Beverages To Satisfy Every Consumer Need, Anytime And Anywhere.","$11,120",49.40%,"$1,254.00",114.00%,"$49,518","$34,148"
289,Leidos Holdings,34000,22,Engineering Company,"Leidos Holdings, Inc. Provides Scientific, Engineering, Systems Integration, And Technical Services And Solutions. The Company Provides Its Services In The Areas Of National Security, Engineering, And Health.","$11,094",8.80%,$667.00,14.80%,"$9,367","$13,000"
290,Iqvia Holdings,67000,15,Contract Research Organization,"Iqvia, Formerly Quintiles And Ims Health, Inc., Is An American Multinational Company Serving The Combined Industries Of Health Information Technology And Clinical Research.","$11,088",6.50%,$191.00,-26.30%,"$23,251","$20,797"
291,Reliance Steel & Aluminum,15300,-16,Metals,Reliance Steel & Aluminum Co. Is A Leading Diversified Metal Solutions Provider.,"$10,974",-4.90%,$701.50,10.70%,"$8,131","$5,856"
292,Nvidia,13775,-24,Computer Game Company,"It Designs Graphics Processing Units For The Gaming And Professional Markets, As Well As System On A Chip Units For The Mobile Computing And Automotive Market.","$10,918",-6.80%,"$2,796.00",-32.50%,"$17,315","$161,451"
293,Entergy,13635,-5,Energy Industry,Entergy Corporation Is A Fortune 500 Integrated Energy Company Engaged Primarily In Electric Power Production And Retail Distribution Operations In The Deep South Of The United States.,"$10,879",-1.20%,"$1,241.20",46.30%,"$51,724","$18,871"
294,Firstenergy,12316,-31,Electric Services Company,"Firstenergy Corp Is An Electric Utility Headquartered In Akron, Ohio. Its Subsidiaries And Affiliates Are Involved In The Distribution, Transmission, And Generation Of Electricity, As Well As Energy Management And Other Energy-related Services.","$10,850",-8.50%,$912.00,-32.30%,"$42,301","$21,666"
295,Ebay,13300,-,E-commerce Company,Ebay's Focus In India Is On The B2c Ecommerce Retail Export. Indian Sellers Get Huge Benefits By Selling Their Products To Other Countries On Ebay.,"$10,800",0.50%,"$1,786.00",-29.40%,"$18,174","$23,930"
296,Boston Scientific,36000,23,Medical Device,"Boston Scientific Corp. Engages In The Development, Manufacture And Marketing Of Medical Devices That Are Used In Interventional Medical Specialties.","$10,735",9.30%,"$4,700.00",181.30%,"$30,565","$45,656"
297,Office Depot,40000,-12,Retail Company,The Odp Corporation Is An American Office Supply Retailing Company Headquartered In Boca Raton.,"$10,647",-4.30%,$99.00,-4.80%,"$7,311",$868
298,Molson Coors Beverage,17700,-4,Beverage Company,"The Molson Coors Beverage Company, Commonly Known As Molson Coors, Is A Multinational Drink And Brewing Company Headquartered In Chicago In The United States.","$10,579",-1.80%,$241.70,-78.40%,"$28,860","$8,441"
299,Steel Dynamics,8385,-35,Metals Industry,"Steel Dynamics, Inc., Sometimes Abbreviated As ""sdi"", Is A Steel Producer Based In Fort Wayne, Indiana.","$10,465",-11.50%,$671.10,-46.70%,"$8,276","$4,794"
300,Mutual Of Omaha Insurance,6072,36,Insurance Company,Mutual Of Omaha Insurance Company Provides Insurance Services.,"$10,456",11.90%,$271.50,-2.10%,"$50,174",-
301,Sonic Automotive,9300,15,Automotive,It Is The Fifth Largest Automotive Retailer In The United States.,"$10,454",5.10%,$144.10,179.10%,"$4,071",$567
302,Alcoa,13800,-66,Aluminum Company,"Alcoa (nyse: Aa) Is A Global Industry Leader In Bauxite, Alumina And Aluminum Products, With A Strong Portfolio Of Value-added Cast And Rolled Products And Substantial Energy Assets.","$10,433",-22.20%,"-$1,125.00",-595.60%,"$14,631","$1,145"
303,Fidelity National Information Services,55000,58,Information Technology Services,"Fidelity National Information Services, Inc. Operates As A Financial Services Technology Company In The United States And Internationally.","$10,333",22.70%,$298.00,-64.80%,"$83,806","$74,969"
304,Henry Schein,19000,-62,Medical Device,"Henry Schein Is A Worldwide Distributor Of Medical And Dental Supplies Including Vaccines, Pharmaceuticals, Financial Services And Equipment.","$10,305",-21.90%,$694.70,29.60%,"$7,151","$7,244"
305,Republic Services,36000,9,Solid Waste Collection Company,"Republic Services, Inc Is The Second Largest Provider Of Non-hazardous Solid Waste Collection, Transfer, Disposal, Recycling, And Energy Services In The United States, As Measured By Revenue.","$10,299",2.60%,"$1,073.30",3.50%,"$22,684","$23,956"
306,Liberty Media,6753,74,Mass Media Company,"Liberty Media Corp. Engages In The Business Of Media, Communications And Entertainment.","$10,292",28.00%,$106.00,-80.00%,"$44,189","$9,972"
307,Peter Kiewit Sons',23000,33,Construction Engineering Company,"Peter Kiewit Sons', Inc. Provides Construction Services. The Company Builds Transportation Systems, Tunnels, Office Buildings, Industrial Complexes, Education And Sports Facilities, Hotels And Hospitals, Factories, And Other Structure.","$10,283",13.90%,$419.00,-10.50%,"$5,717",-
308,Interpublic Group,54300,14,Advertising Company,"The Interpublic Group Of Companies, Inc. Is An Organization Of Advertising Agencies And Marketing Service Companies.","$10,221",5.20%,$656.00,6.00%,"$17,752","$6,279"
309,Pultegroup,5245,3,Home Construction Company,"Pultegroup Inc. Sells And Constructs Homes, And Purchases, Develops, And Sells Residential Land And Develops Active Adult Communities.","$10,213",0.20%,"$1,016.70",-0.50%,"$10,716","$6,015"
310,Aes,8000,-14,Environmental Services,The More Popular And Widely Adopted Symmetric Encryption Algorithm Likely To Be Encountered Nowadays Is The Advanced Encryption Standard (aes).,"$10,189",-5.10%,$303.00,-74.80%,"$33,648","$9,041"
311,Fiserv,44000,177,Financial Company,"Fiserv, Inc. Is A Global Provider Of Financial Services Technology.","$10,187",74.90%,$893.00,-24.80%,"$77,539","$64,508"
312,Borgwarner,29000,-11,Automotive Industry Company,"Borgwarner, Inc. Engages In The Provision Of Technology Solutions For Combustion, Hybrid And Electric Vehicles.","$10,168",-3.40%,$746.00,-19.80%,"$9,702","$5,037"
313,Oneok,2882,-57,Natural Gas Liquids Company,The Company Is Involved In The Natural Gas And Natural Gas Liquids Business Across The United States.,"$10,164",-19.30%,"$1,278.60",11.00%,"$21,812","$9,015"
314,O'reilly Automotive,67663,15,Retail Company,"O'reilly Automotive, Inc. Is A Specialty Retailer Of Automotive Aftermarket Parts, Tools, Supplies, Equipment And Accessories.","$10,150",6.40%,"$1,391.00",5.00%,"$10,717","$22,353"
315,Assurant,13900,63,Insurance Company,"Assurant, Inc. Is A Global Provider Of Risk Management Products And Services With Headquarters In New York City.","$10,087",25.20%,$382.60,52.40%,"$44,291","$6,218"
316,Newell Brands,30000,-73,Commercial Organization,"Newell Brands, Inc. Retails Consumer Products. The Company Offers Housewares, Home Furnishings, Office Supplies, Tools And Hardware, And Hair Accessories.","$10,083",-22.60%,$106.60,-,"$15,642","$5,949"
317,Public Service Enterprise Group,12992,6,Electric Services Company,"Public Service Enterprise Group Incorporated Is A Public Utility Holding Company. The Company, Through Its Subsidiaries, Generates, Transmits, And Distributes Electricity And Produces Natural Gas In The Northeastern And Mid Atlantic United States.","$10,076",3.90%,"$1,693.00",17.70%,"$47,730","$22,685"
318,News Corp.,28000,23,Mass Media Company,The Original Incarnation Of News Corporation Was An American Multinational Mass Media Corporation Operated And Owned By Media Mogul Rupert Murdoch And Headquartered In New York City.,"$10,074",11.60%,$155.00,-,"$15,711","$5,280"
319,Calpine,2256,11,Energy Company,Calpine Corporation Is America's Largest Generator Of Electricity From Natural Gas And Geothermal Resources With Operations In Competitive Power Markets.,"$10,072",5.90%,$770.00,7600.00%,"$16,649",-
320,Auto-owners Insurance,6141,62,Insurance Company,"Auto-owners Insurance Is A Mutual Insurance Company That Offers Auto, Home, Business And Life Insurance To Policyholders Exclusively Through Independent Agents.","$10,007",25.10%,"$1,352.40",79.20%,"$27,135",-
321,Mohawk Industries,41800,-6,Commercial Company,"Mohawk Industries, Inc. Designs, Manufactures, Sources, Distributes, And Markets Flooring For Residential And Commercial Applications.","$9,971",-0.10%,$744.20,-13.60%,"$13,387","$5,464"
322,Pvh,30750,2,Clothing Company,Pvh Is One Of The Most Admired Fashion And Lifestyle Companies In The World.,"$9,909",2.60%,$417.30,-44.10%,"$13,631","$2,746"
322,Campbell Soup,19000,27,Food Processing Company,"Campbell Soup Company, Doing Business As Campbell's, Is An American Processed Food And Snack Company.","$9,909",14.10%,$211.00,-19.20%,"$13,148","$13,929"
324,Nrg Energy,4577,-33,Nuclear Electric Power Generation Company,"Nrg Energy, Inc. Engages In The Production, Sale, And Distribution Of Energy And Energy Services.","$9,871",-8.60%,"$4,438.00",1556.00%,"$12,531","$6,830"
325,Fifth Third Bancorp,19869,59,Banking Company,"It Is The Principal Subsidiary Of Fifth Third Bancorp, A Diversified Bank Holding Company.","$9,790",22.80%,"$2,512.00",14.50%,"$169,369","$10,560"
326,Hertz Global Holdings,38000,5,Car Rental Company Company,"Hertz Global Holdings, Inc. Provides Car Rental Services. It Operates As A Vehicle Rental Business Globally Through Its Hertz, Dollar, And Thrifty Car Rental Brands.","$9,779",2.90%,-$58.00,-,"$24,627",$878
327,Altice Usa,10700,-,Cable Television Company,Altice Usa Is One Of The Largest Broadband Communications And Video Services Providers In The United States.,"$9,761",2.00%,$138.90,637.70%,"$34,108","$14,110"
328,Newmont,16600,91,Gold Mining Company,It Is The World's Largest Gold Mining Company.,"$9,740",34.30%,"$2,805.00",722.60%,"$39,974","$36,577"
329,Cheniere Energy,1530,54,Energy Company,"Cheniere Energy, Inc., An Energy Infrastructure Company, Engages In The Liquefied Natural Gas (lng) Related Businesses In The United States.","$9,730",21.80%,$648.00,37.60%,"$35,492","$8,512"
330,Advance Auto Parts,53000,-4,Automotive,It Is An American Automotive Aftermarket Parts Provider.,"$9,709",1.30%,$486.90,14.90%,"$11,249","$6,461"
331,Lam Research,10700,-44,Semiconductor Company,"Lam Research Corporation Is An American Corporation That Engages In The Design, Manufacture, Marketing, And Service Of Semiconductor Processing Equipment Used In The Fabrication Of Integrated Circuits.","$9,654",-12.90%,"$2,191.40",-7.90%,"$12,001","$34,932"
332,Owens & Minor,15400,-15,Healthcare Company,"Owens & Minor, Inc. Is A Global Healthcare Logistics Company.","$9,650",-1.90%,-$62.40,-,"$3,643",$577
333,Equitable Holdings,10100,-,Financial Service,"Equitable Holdings, Inc Is An American Financial Services And Insurance Company That Was Founded In 1859 By Henry Baldwin Hyde.","$9,591",-20.60%,"-$1,733.00",-195.20%,"$249,870","$6,707"
334,Conagra Brands,18000,52,Food Company,Conagra Combines A Rich Heritage Of Great Food With A Sharpened Focus On Innovation,"$9,538",20.20%,$678.30,-16.10%,"$22,214","$14,291"
335,Markel,18600,106,Insurance Company,"Markel Corporation Is A Holding Company For Insurance, Reinsurance, And Investment Operations Around The World.","$9,526",39.20%,"$1,790.50",-,"$37,474","$12,787"
336,Jones Financial (edward Jones),49000,20,Financial Services Company,"Edward D. Jones & Co., L.p., Simplified As Edward Jones, Is A Financial Services Firm Headquartered In St. Louis, Missouri, United States.","$9,526",10.80%,"$1,092.00",10.30%,"$19,317",-
337,Hormel Foods,18800,-9,Food Company,Hormel Foods Corporation Manufactures And Markets Consumer-branded Meat And Food Products.,"$9,497",-0.50%,$978.80,-3.30%,"$8,109","$25,082"
338,Hilton Worldwide Holdings,173000,7,Hospitality Company,"Hilton Worldwide Holdings, Inc. Operates As A Holding Company, Which Provides Hospitality Services Through Its Subsidiaries.","$9,452",6.10%,$881.00,15.30%,"$14,957","$18,933"
339,Univar Solutions,10300,14,Chemicals Company,Univar Solutions Inc. Is A Global Chemical And Ingredients Distributor And Provider Of Value-added Services Which Works With Leading Suppliers Worldwide.,"$9,444",9.40%,-$100.20,-158.20%,"$6,495","$1,810"
340,United Rentals,19100,39,Construction Company,"United Rentals Is An Equipment Rental Distributor That Deploys People, Tools, And Solutions To Enable Their Customers To Build Constructions.","$9,351",16.20%,"$1,174.00",7.10%,"$18,970","$7,623"
341,Pioneer Natural Resources,2323,-8,Energy Company,Pioneer Natural Resources Co. Operates As An Independent Oil And Gas Exploration And Production Company.,"$9,304",-1.20%,$756.00,-22.70%,"$19,067","$11,625"
342,Delek Us Holdings,3707,-35,Petroleum Refining Company,"Delek Us Holdings, Inc. Is A Diversified Downstream Energy Company With Assets In Petroleum Refining, Logistics, Renewable Fuels And Convenience Store Retailing.","$9,298",-9.40%,$310.60,-8.70%,"$7,016","$1,190"
343,Eastman Chemical,14500,-30,Chemical Industry Company,Eastman Chemical Company Is An American Company Primarily Involved In The Chemical Industry.,"$9,273",-8.60%,$759.00,-29.70%,"$16,008","$6,330"
344,Emcor Group,36000,31,Construction Company,"Emcor Group, Inc. Provides Electrical And Mechanical Construction And Facilities Services.","$9,175",12.80%,$325.10,14.70%,"$4,830","$3,450"
345,Avis Budget Group,25600,-7,Car Rental Company,"Avis Budget Group, Inc. Is The American Parent Company Of Avis Car Rental, Budget Car Rental, Budget Truck Rental, And Zipcar, Consisting Of Its Global Brands.","$9,172",0.50%,$302.00,83.00%,"$23,126",$967
346,J.b. Hunt Transport Services,29056,8,Transport Services,"The Company Offers Logistics Management, Trucking, Warehousing, Freight Forwarding, Brokerage, Cargo, Storage, Shipping, Supply Chain Management, And Distribution Services.","$9,165",6.40%,$516.30,5.50%,"$5,471","$9,800"
347,Xerox Holdings,27000,-29,Information Technology,"Xerox Holdings Corporation Designs, Develops, And Sells Document Management Systems And Solutions In The United States, Europe, Canada, And Internationally.","$9,145",-7.00%,"$1,353.00",274.80%,"$15,047","$4,030"
348,Wayfair,16985,98,Online Store Company,Wayfair Inc. Is An American E-commerce Company That Sells Furniture And Home-goods.,"$9,127",34.60%,-$984.60,-,"$2,953","$5,043"
349,Kkr,1384,177,Private Equity Company,"Kkr & Co. Inc. Is An American Global Investment Company That Manages Multiple Alternative Asset Classes, Including Private Equity, Energy, Infrastructure, Real Estate, Credit, And, Through Its Strategic Partners, Hedge Funds.","$9,120",74.60%,"$2,005.00",77.30%,"$60,899","$19,913"
350,Agco,20961,-15,Agricultural Machinery Company,Agco Corporation (agco) Is A Manufacturer And Distributor Of Agricultural Equipment And Related Replacement Parts Globally.,"$9,041",-3.30%,$125.20,-56.10%,"$7,760","$3,546"
351,Alleghany,10786,86,Holding Company,Alleghany Corporation Provides Property And Casualty Reinsurance And Insurance Products In The United States And Internationally.,"$9,041",31.30%,$857.80,2069.50%,"$26,932","$7,924"
352,Icahn Enterprises,28033,-186,Conglomerate Company,"The Company Has Investments In Various Industries Including Auto Parts, Energy, Metals, Rail Cars, Casinos, Food Packaging, Real Estate, And Home Fashion.","$8,992",-52.60%,"-$1,098.00",-172.90%,"$24,639","$10,366"
353,Voya Financial,6000,-10,Financial Services,"Voya Financial Is An American Financial, Retirement, Investment And Insurance Company Based In New York City.","$8,942",0.10%,-$351.00,-140.10%,"$169,051","$5,366"
354,Ryder System,39900,9,Transport Company,"Ryder, Is An American Transportation And Logistics Company. It Is Especially Known For Its Fleet Of Commercial Rental Trucks.","$8,926",6.10%,-$24.40,-108.90%,"$14,475","$1,381"
355,Air Products & Chemicals,17570,-11,Chemical Industry Company,"Air Products And Chemicals, Inc. Is An American International Corporation Whose Principal Business Is Selling Gases And Chemicals For Industrial Uses.","$8,919",-0.10%,"$1,760.00",17.50%,"$18,943","$44,050"
356,Mosaic,12600,-31,Mining & Metals,The Mosaic Company Mines And Processes Phosphate And Potash Minerals Into Crop Nutrients To Help Feed The World.,"$8,906",-7.10%,"-$1,067.40",-327.10%,"$19,299","$4,098"
